episode_number,episode_name,description,air_date
2733,"Taarak Mehta Ka Ooltah Chashmah - Ep 2733 - Full Episode - 17th May, 2019","Official Sony LIV synopsis for Episode 2733: Taarak Mehta Ka Ooltah Chashmah - Ep 2733 - Full Episode - 17th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-18
2734,"Taarak Mehta Ka Ooltah Chashmah - Ep 2734 - Full Episode - 20th May, 2019","Official Sony LIV synopsis for Episode 2734: Taarak Mehta Ka Ooltah Chashmah - Ep 2734 - Full Episode - 20th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-19
2735,"Taarak Mehta Ka Ooltah Chashmah - Ep 2735 - Full Episode - 21st May, 2019","Official Sony LIV synopsis for Episode 2735: Taarak Mehta Ka Ooltah Chashmah - Ep 2735 - Full Episode - 21st May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-20
2736,"Taarak Mehta Ka Ooltah Chashmah - Ep 2736 - Full Episode - 22nd May, 2019","Official Sony LIV synopsis for Episode 2736: Taarak Mehta Ka Ooltah Chashmah - Ep 2736 - Full Episode - 22nd May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-21
2737,"Taarak Mehta Ka Ooltah Chashmah - Ep 2737 - Full Episode - 23rd May, 2019","Official Sony LIV synopsis for Episode 2737: Taarak Mehta Ka Ooltah Chashmah - Ep 2737 - Full Episode - 23rd May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-22
2738,"Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019","Official Sony LIV synopsis for Episode 2738: Taarak Mehta Ka Ooltah Chashmah - Ep 2738 - Full Episode - 24th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-23
2739,"Taarak Mehta Ka Ooltah Chashmah - Ep 2739 - Full Episode - 27th May, 2019","Official Sony LIV synopsis for Episode 2739: Taarak Mehta Ka Ooltah Chashmah - Ep 2739 - Full Episode - 27th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-24
2740,"Taarak Mehta Ka Ooltah Chashmah - Ep 2740 - Full Episode - 28th May, 2019","Official Sony LIV synopsis for Episode 2740: Taarak Mehta Ka Ooltah Chashmah - Ep 2740 - Full Episode - 28th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-25
2741,"Taarak Mehta Ka Ooltah Chashmah - Ep 2741 - Full Episode - 29th May, 2019","Official Sony LIV synopsis for Episode 2741: Taarak Mehta Ka Ooltah Chashmah - Ep 2741 - Full Episode - 29th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-26
2742,"Taarak Mehta Ka Ooltah Chashmah - Ep 2742 - Full Episode - 30th May, 2019","Official Sony LIV synopsis for Episode 2742: Taarak Mehta Ka Ooltah Chashmah - Ep 2742 - Full Episode - 30th May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-27
2743,"Taarak Mehta Ka Ooltah Chashmah - Ep 2743 - Full Episode - 31st May, 2019","Official Sony LIV synopsis for Episode 2743: Taarak Mehta Ka Ooltah Chashmah - Ep 2743 - Full Episode - 31st May, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-28
2744,"Taarak Mehta Ka Ooltah Chashmah - Ep 2744 - Full Episode - 3rd June, 2019","Official Sony LIV synopsis for Episode 2744: Taarak Mehta Ka Ooltah Chashmah - Ep 2744 - Full Episode - 3rd June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-01
2745,"Taarak Mehta Ka Ooltah Chashmah - Ep 2745 - Full Episode - 4th June, 2019","Official Sony LIV synopsis for Episode 2745: Taarak Mehta Ka Ooltah Chashmah - Ep 2745 - Full Episode - 4th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-02
2746,"Taarak Mehta Ka Ooltah Chashmah - Ep 2746 - Full Episode - 5th June, 2019","Official Sony LIV synopsis for Episode 2746: Taarak Mehta Ka Ooltah Chashmah - Ep 2746 - Full Episode - 5th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-03
2747,"Taarak Mehta Ka Ooltah Chashmah - Ep 2747 - Full Episode - 6th June, 2019","Official Sony LIV synopsis for Episode 2747: Taarak Mehta Ka Ooltah Chashmah - Ep 2747 - Full Episode - 6th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-04
2748,"Taarak Mehta Ka Ooltah Chashmah - Ep 2748 - Full Episode - 7th June, 2019","Official Sony LIV synopsis for Episode 2748: Taarak Mehta Ka Ooltah Chashmah - Ep 2748 - Full Episode - 7th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-05
2749,"Taarak Mehta Ka Ooltah Chashmah - Ep 2749 - Full Episode - 10th June, 2019","Official Sony LIV synopsis for Episode 2749: Taarak Mehta Ka Ooltah Chashmah - Ep 2749 - Full Episode - 10th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-06
2750,"Taarak Mehta Ka Ooltah Chashmah - Ep 2750 - Full Episode - 11th June, 2019","Official Sony LIV synopsis for Episode 2750: Taarak Mehta Ka Ooltah Chashmah - Ep 2750 - Full Episode - 11th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-07
2751,"Taarak Mehta Ka Ooltah Chashmah - Ep 2751 - Full Episode - 12th June, 2019","Official Sony LIV synopsis for Episode 2751: Taarak Mehta Ka Ooltah Chashmah - Ep 2751 - Full Episode - 12th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-08
2752,"Taarak Mehta Ka Ooltah Chashmah - Ep 2752 - Full Episode - 13th June, 2019","Official Sony LIV synopsis for Episode 2752: Taarak Mehta Ka Ooltah Chashmah - Ep 2752 - Full Episode - 13th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-09
2753,"Taarak Mehta Ka Ooltah Chashmah - Ep 2753 - Full Episode - 14th June, 2019","Official Sony LIV synopsis for Episode 2753: Taarak Mehta Ka Ooltah Chashmah - Ep 2753 - Full Episode - 14th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-10
2754,"Taarak Mehta Ka Ooltah Chashmah - Ep 2754 - Full Episode - 17th June, 2019","Official Sony LIV synopsis for Episode 2754: Taarak Mehta Ka Ooltah Chashmah - Ep 2754 - Full Episode - 17th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-11
2755,"Taarak Mehta Ka Ooltah Chashmah - Ep 2755 - Full Episode - 18th June, 2019","Official Sony LIV synopsis for Episode 2755: Taarak Mehta Ka Ooltah Chashmah - Ep 2755 - Full Episode - 18th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-12
2756,"Taarak Mehta Ka Ooltah Chashmah - Ep 2756 - Full Episode - 19th June, 2019","Official Sony LIV synopsis for Episode 2756: Taarak Mehta Ka Ooltah Chashmah - Ep 2756 - Full Episode - 19th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-13
2757,"Taarak Mehta Ka Ooltah Chashmah - Ep 2757 - Full Episode - 20th June, 2019","Official Sony LIV synopsis for Episode 2757: Taarak Mehta Ka Ooltah Chashmah - Ep 2757 - Full Episode - 20th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-14
2758,"Taarak Mehta Ka Ooltah Chashmah - Ep 2758 - Full Episode - 21st June, 2019","Official Sony LIV synopsis for Episode 2758: Taarak Mehta Ka Ooltah Chashmah - Ep 2758 - Full Episode - 21st June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-15
2759,"Taarak Mehta Ka Ooltah Chashmah - Ep 2759 - Full Episode - 24th June, 2019","Official Sony LIV synopsis for Episode 2759: Taarak Mehta Ka Ooltah Chashmah - Ep 2759 - Full Episode - 24th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-16
2760,"Taarak Mehta Ka Ooltah Chashmah - Ep 2760 - Full Episode - 25th June, 2019","Official Sony LIV synopsis for Episode 2760: Taarak Mehta Ka Ooltah Chashmah - Ep 2760 - Full Episode - 25th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-17
2761,"Taarak Mehta Ka Ooltah Chashmah - Ep 2761 - Full Episode - 26th June, 2019","Official Sony LIV synopsis for Episode 2761: Taarak Mehta Ka Ooltah Chashmah - Ep 2761 - Full Episode - 26th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-18
2762,"Taarak Mehta Ka Ooltah Chashmah - Ep 2762 - Full Episode - 27th June, 2019","Official Sony LIV synopsis for Episode 2762: Taarak Mehta Ka Ooltah Chashmah - Ep 2762 - Full Episode - 27th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-19
2763,"Taarak Mehta Ka Ooltah Chashmah - Ep 2763 - Full Episode - 28th June, 2019","Official Sony LIV synopsis for Episode 2763: Taarak Mehta Ka Ooltah Chashmah - Ep 2763 - Full Episode - 28th June, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-20
2764,"Taarak Mehta Ka Ooltah Chashmah - Ep 2764 - Full Episode - 1st July, 2019","Official Sony LIV synopsis for Episode 2764: Taarak Mehta Ka Ooltah Chashmah - Ep 2764 - Full Episode - 1st July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-21
2765,"Taarak Mehta Ka Ooltah Chashmah - Ep 2765 - Full Episode - 2nd July, 2019","Official Sony LIV synopsis for Episode 2765: Taarak Mehta Ka Ooltah Chashmah - Ep 2765 - Full Episode - 2nd July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-22
2766,"Taarak Mehta Ka Ooltah Chashmah - Ep 2766 - Full Episode - 3rd July, 2019","Official Sony LIV synopsis for Episode 2766: Taarak Mehta Ka Ooltah Chashmah - Ep 2766 - Full Episode - 3rd July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-23
2767,"Taarak Mehta Ka Ooltah Chashmah - Ep 2767 - Full Episode - 4th July, 2019","Official Sony LIV synopsis for Episode 2767: Taarak Mehta Ka Ooltah Chashmah - Ep 2767 - Full Episode - 4th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-24
2768,"Taarak Mehta Ka Ooltah Chashmah - Ep 2768 - Full Episode - 5th July, 2019","Official Sony LIV synopsis for Episode 2768: Taarak Mehta Ka Ooltah Chashmah - Ep 2768 - Full Episode - 5th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-25
2769,"Taarak Mehta Ka Ooltah Chashmah - Ep 2769 - Full Episode - 8th July, 2019","Official Sony LIV synopsis for Episode 2769: Taarak Mehta Ka Ooltah Chashmah - Ep 2769 - Full Episode - 8th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-26
2770,"Taarak Mehta Ka Ooltah Chashmah - Ep 2770 - Full Episode - 9th July, 2019","Official Sony LIV synopsis for Episode 2770: Taarak Mehta Ka Ooltah Chashmah - Ep 2770 - Full Episode - 9th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-27
2771,"Taarak Mehta Ka Ooltah Chashmah - Ep 2771 - Full Episode - 10th July, 2019","Official Sony LIV synopsis for Episode 2771: Taarak Mehta Ka Ooltah Chashmah - Ep 2771 - Full Episode - 10th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-28
2772,"Taarak Mehta Ka Ooltah Chashmah - Ep 2772 - Full Episode - 11th July, 2019","Official Sony LIV synopsis for Episode 2772: Taarak Mehta Ka Ooltah Chashmah - Ep 2772 - Full Episode - 11th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-01
2773,"Taarak Mehta Ka Ooltah Chashmah - Ep 2773 - Full Episode - 12th July, 2019","Official Sony LIV synopsis for Episode 2773: Taarak Mehta Ka Ooltah Chashmah - Ep 2773 - Full Episode - 12th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-02
2774,"Taarak Mehta Ka Ooltah Chashmah - Ep 2774 - Full Episode - 15th July, 2019","Official Sony LIV synopsis for Episode 2774: Taarak Mehta Ka Ooltah Chashmah - Ep 2774 - Full Episode - 15th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-03
2775,"Taarak Mehta Ka Ooltah Chashmah - Ep 2775 - Full Episode - 16th July, 2019","Official Sony LIV synopsis for Episode 2775: Taarak Mehta Ka Ooltah Chashmah - Ep 2775 - Full Episode - 16th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-04
2776,"Taarak Mehta Ka Ooltah Chashmah - Ep 2776 - Full Episode - 17th July, 2019","Official Sony LIV synopsis for Episode 2776: Taarak Mehta Ka Ooltah Chashmah - Ep 2776 - Full Episode - 17th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-05
2777,"Taarak Mehta Ka Ooltah Chashmah - Ep 2777 - Full Episode - 18th July, 2019","Official Sony LIV synopsis for Episode 2777: Taarak Mehta Ka Ooltah Chashmah - Ep 2777 - Full Episode - 18th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-06
2778,"Taarak Mehta Ka Ooltah Chashmah - Ep 2778 - Full Episode - 19th July, 2019","Official Sony LIV synopsis for Episode 2778: Taarak Mehta Ka Ooltah Chashmah - Ep 2778 - Full Episode - 19th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-07
2779,"Taarak Mehta Ka Ooltah Chashmah - Ep 2779 - Full Episode - 22nd July, 2019","Official Sony LIV synopsis for Episode 2779: Taarak Mehta Ka Ooltah Chashmah - Ep 2779 - Full Episode - 22nd July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-08
2780,"Taarak Mehta Ka Ooltah Chashmah - Ep 2780 - Full Episode - 23rd July, 2019","Official Sony LIV synopsis for Episode 2780: Taarak Mehta Ka Ooltah Chashmah - Ep 2780 - Full Episode - 23rd July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-09
2781,Episode 2781 - Taarak Mehta Ka Ooltah Chashmah - Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 2781: Episode 2781 - Taarak Mehta Ka Ooltah Chashmah - Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-10
2782,"Taarak Mehta Ka Ooltah Chashmah - Ep 2782 - Full Episode - 25th July, 2019","Official Sony LIV synopsis for Episode 2782: Taarak Mehta Ka Ooltah Chashmah - Ep 2782 - Full Episode - 25th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-11
2783,"Taarak Mehta Ka Ooltah Chashmah - Ep 2783 - Full Episode - 26th July, 2019","Official Sony LIV synopsis for Episode 2783: Taarak Mehta Ka Ooltah Chashmah - Ep 2783 - Full Episode - 26th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-12
2784,"Taarak Mehta Ka Ooltah Chashmah - Ep 2784 - Full Episode - 29th July, 2019","Official Sony LIV synopsis for Episode 2784: Taarak Mehta Ka Ooltah Chashmah - Ep 2784 - Full Episode - 29th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-13
2785,"Taarak Mehta Ka Ooltah Chashmah - Ep 2785 - Full Episode - 30th July, 2019","Official Sony LIV synopsis for Episode 2785: Taarak Mehta Ka Ooltah Chashmah - Ep 2785 - Full Episode - 30th July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-14
2786,"Taarak Mehta Ka Ooltah Chashmah - Ep 2786 - Full Episode - 31st July, 2019","Official Sony LIV synopsis for Episode 2786: Taarak Mehta Ka Ooltah Chashmah - Ep 2786 - Full Episode - 31st July, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-15
2787,"Taarak Mehta Ka Ooltah Chashmah - Ep 2787 - Full Episode - 1st August, 2019","Official Sony LIV synopsis for Episode 2787: Taarak Mehta Ka Ooltah Chashmah - Ep 2787 - Full Episode - 1st August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-16
2788,"Taarak Mehta Ka Ooltah Chashmah - Ep 2788 - Full Episode - 2nd August, 2019","Official Sony LIV synopsis for Episode 2788: Taarak Mehta Ka Ooltah Chashmah - Ep 2788 - Full Episode - 2nd August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-17
2789,"Taarak Mehta Ka Ooltah Chashmah - Ep 2789 - Full Episode - 5th August, 2019","Official Sony LIV synopsis for Episode 2789: Taarak Mehta Ka Ooltah Chashmah - Ep 2789 - Full Episode - 5th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-18
2790,"Taarak Mehta Ka Ooltah Chashmah - Ep 2790 - Full Episode - 6th August, 2019","Official Sony LIV synopsis for Episode 2790: Taarak Mehta Ka Ooltah Chashmah - Ep 2790 - Full Episode - 6th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-19
2791,"Taarak Mehta Ka Ooltah Chashmah - Ep 2791 - Full Episode - 7th August, 2019","Official Sony LIV synopsis for Episode 2791: Taarak Mehta Ka Ooltah Chashmah - Ep 2791 - Full Episode - 7th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-20
2792,"Taarak Mehta Ka Ooltah Chashmah - Ep 2792 - Full Episode - 8th August, 2019","Official Sony LIV synopsis for Episode 2792: Taarak Mehta Ka Ooltah Chashmah - Ep 2792 - Full Episode - 8th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-21
2793,"Taarak Mehta Ka Ooltah Chashmah - Ep 2793 - Full Episode - 9th August, 2019","Official Sony LIV synopsis for Episode 2793: Taarak Mehta Ka Ooltah Chashmah - Ep 2793 - Full Episode - 9th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-22
2794,"Taarak Mehta Ka Ooltah Chashmah - Ep 2794 - Full Episode - 12th August, 2019","Official Sony LIV synopsis for Episode 2794: Taarak Mehta Ka Ooltah Chashmah - Ep 2794 - Full Episode - 12th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-23
2795,"Taarak Mehta Ka Ooltah Chashmah - Ep 2795 - Full Episode - 13th August, 2019","Official Sony LIV synopsis for Episode 2795: Taarak Mehta Ka Ooltah Chashmah - Ep 2795 - Full Episode - 13th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-24
2796,"Taarak Mehta Ka Ooltah Chashmah - Ep 2796 - Full Episode - 14th August, 2019","Official Sony LIV synopsis for Episode 2796: Taarak Mehta Ka Ooltah Chashmah - Ep 2796 - Full Episode - 14th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-25
2797,"Taarak Mehta Ka Ooltah Chashmah - Ep 2797 - Full Episode - 15th August, 2019","Official Sony LIV synopsis for Episode 2797: Taarak Mehta Ka Ooltah Chashmah - Ep 2797 - Full Episode - 15th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-26
2798,"Taarak Mehta Ka Ooltah Chashmah - Ep 2798 - Full Episode - 16th August, 2019","Official Sony LIV synopsis for Episode 2798: Taarak Mehta Ka Ooltah Chashmah - Ep 2798 - Full Episode - 16th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-27
2799,"Taarak Mehta Ka Ooltah Chashmah - Ep 2799 - Full Episode - 19th August, 2019","Official Sony LIV synopsis for Episode 2799: Taarak Mehta Ka Ooltah Chashmah - Ep 2799 - Full Episode - 19th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-28
2800,"Taarak Mehta Ka Ooltah Chashmah - Ep 2800 - Full Episode - 20th August, 2019","Official Sony LIV synopsis for Episode 2800: Taarak Mehta Ka Ooltah Chashmah - Ep 2800 - Full Episode - 20th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-05-01
2801,"Taarak Mehta Ka Ooltah Chashmah - Ep 2801 - Full Episode - 21st August, 2019","Official Sony LIV synopsis for Episode 2801: Taarak Mehta Ka Ooltah Chashmah - Ep 2801 - Full Episode - 21st August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-06-02
2802,"Taarak Mehta Ka Ooltah Chashmah - Ep 2802 - Full Episode - 22nd August, 2019","Official Sony LIV synopsis for Episode 2802: Taarak Mehta Ka Ooltah Chashmah - Ep 2802 - Full Episode - 22nd August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-07-03
2803,"Taarak Mehta Ka Ooltah Chashmah - Ep 2803 - Full Episode - 23rd August, 2019","Official Sony LIV synopsis for Episode 2803: Taarak Mehta Ka Ooltah Chashmah - Ep 2803 - Full Episode - 23rd August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-08-04
2804,"A Goon In The Society | Taarak Mehta Ka Ooltah Chashmah | Full Episode 2804 | 26th August, 2019","Official Sony LIV synopsis for Episode 2804: A Goon In The Society | Taarak Mehta Ka Ooltah Chashmah | Full Episode 2804 | 26th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-09-05
2805,"Taarak Mehta Ka Ooltah Chashmah - Ep 2805 - Full Episode - 27th August, 2019","Official Sony LIV synopsis for Episode 2805: Taarak Mehta Ka Ooltah Chashmah - Ep 2805 - Full Episode - 27th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-10-06
2806,"Taarak Mehta Ka Ooltah Chashmah - Ep 2806 - Full Episode - 28th August, 2019","Official Sony LIV synopsis for Episode 2806: Taarak Mehta Ka Ooltah Chashmah - Ep 2806 - Full Episode - 28th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-11-07
2807,"Taarak Mehta Ka Ooltah Chashmah - Ep 2807 - Full Episode - 29th August, 2019","Official Sony LIV synopsis for Episode 2807: Taarak Mehta Ka Ooltah Chashmah - Ep 2807 - Full Episode - 29th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-12-08
2808,"Taarak Mehta Ka Ooltah Chashmah - Ep 2808 - Full Episode - 30th August, 2019","Official Sony LIV synopsis for Episode 2808: Taarak Mehta Ka Ooltah Chashmah - Ep 2808 - Full Episode - 30th August, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-01-09
2809,"Taarak Mehta Ka Ooltah Chashmah - Ep 2809 - Full Episode - 2nd September, 2019","Official Sony LIV synopsis for Episode 2809: Taarak Mehta Ka Ooltah Chashmah - Ep 2809 - Full Episode - 2nd September, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-02-10
2810,"Taarak Mehta Ka Ooltah Chashmah - Ep 2810 - Full Episode - 3rd September, 2019","Official Sony LIV synopsis for Episode 2810: Taarak Mehta Ka Ooltah Chashmah - Ep 2810 - Full Episode - 3rd September, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-03-11
2811,"Taarak Mehta Ka Ooltah Chashmah - Ep 2811 - Full Episode - 4th September, 2019","Official Sony LIV synopsis for Episode 2811: Taarak Mehta Ka Ooltah Chashmah - Ep 2811 - Full Episode - 4th September, 2019. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2017-04-12
